,Restaurant_Name,Cuisine,Price for 2(approx),Rating,Location,Area,Region
675,Krishnapatnam," South Indian, Andhra, Mughlai",1500,3.7,Forum Sujana Mall,Kukatpally,West Hyderabad
676,Wahh Chaap," Fast Food, North Indian",500,,Himayath Nagar,,Central Hyderabad
677,UFO, Fast Food,400,,Himayath Nagar,,Central Hyderabad
678,Soups N Salads," Italian, Mexican, Health Food",1000,4.3,Jubilee Hills,,Central West Hyderabad
679,Pop O'Bob - Premium Bubble Tea," Beverages, Fast Food",400,3.1,Film Nagar,,Central West Hyderabad
680,Wok To Walk, Chinese,500,5,Jubilee Hills,,Central West Hyderabad
681,Fusion 9," Asian, Fusion, Italian",2200,4.4,Jubilee Hills,,Central West Hyderabad
682,Giani's," Desserts, Beverages",400,,Himayath Nagar,,Central Hyderabad
683,The Waffle Co.," North Indian, Continental, Chinese",400,,Banjara Hills,,Central East Hyderabad
684,Giani's," Desserts, Beverages",400,,Banjara Hills,,Central East Hyderabad
685,Sahara Bakers," Chinese, Fast Food, Desserts",400,,RTC X Road,,Central Hyderabad
686,Banjara Palace," North Indian, Chinese, Mughlai",800,,Banjara Hills,,Central East Hyderabad
687,Autumn Leaf Cafe," Continental, Fast Food, Beverages, Desserts",1000,4.2,Jubilee Hills,,Central West Hyderabad
688,Temptations," Desserts, Beverages",600,,Bowenpally,,Secunderabad
689,Echoes Living Room," Fast Food, Continental",900,4.6,Madhapur,,West Hyderabad
690,Naaku Mooka," Chinese, South Indian",500,,Nampally,,Central Hyderabad
691,Repete Brewery & Kitchen," North Indian, Italian, Continental",2000,3.8,Aditya Enclave,Jubilee Hills,Central West Hyderabad
692,Capital Multi Cuisine Restaurant," North Indian, Chinese",500,,Basheerbagh,,Central Hyderabad
693,Tevar - The Progressive Indian Kitchen & Bar," Modern Indian, North Indian, Street Food",3500,5,Hitech City,,West Hyderabad
694,Shaso Food Fusion," North Indian, Middle Eastern",1100,,Masab Tank,,Central East Hyderabad
695,Beans & Brie Bistro," Continental, Italian, Beverages",1400,4.2,Aditya Enclave,Jubilee Hills,Central West Hyderabad
696,Tom n Nori," Chinese, American",2000,4,Jubilee Hills,,Central West Hyderabad
697,Sachii Sky Bar & Kitchen," North Indian, European, Asian, Goan",1600,,Banjara Hills,,Central East Hyderabad
698,The Burger Company," Burger, Fast Food",400,,Madhura Nagar,,Central East Hyderabad
699,Shatabdi Indian Kitchen & Bar," North Indian, South Indian, Chinese",1400,4.5,Jubilee Hills,,Central West Hyderabad
700,New King Mandi," Mughlai, Hyderabadi, Chinese, Fast Food",1000,,Himayath Nagar,,Central Hyderabad
701,Fantastic Four Cafe," Fast Food, Beverages",700,,Himayath Nagar,,Central Hyderabad
702,Crispy Hub, Fast Food,400,,Musheerabad,,East Hyderabad
703,Waffle World Food," Desserts, Fast Food",500,,RTC X Road,,Central Hyderabad
704,Chickpet Donne Biryani House," Biryani, South Indian",500,,Himayath Nagar,,Central Hyderabad
705,Diablo," Mediterranean, Turkish, Iranian, Italian",1500,3.8,Jubilee Hills,,Central West Hyderabad
706,LYF Cafe," Health Food, Continental, Desserts, Beverages",1500,3.8,Jubilee Hills,,Central West Hyderabad
